source_id,source_breakpoint,target_id,target_breakpoint,source_label,target_label
chr19,24186054,chr17,33478117,5_8S_rRNA.4,UNC45B
chr4,76807187,chr1,91852878,AC110615.1,HFM1
chr12,34372614,chr12,127650987,AC140847.1,AC079949.1
chr12,34372616,chr2,159440784,AC140847.1,PKP4
chr2,133012108,chr5,174541752,ANKRD30BL,CTC-281M20.1
chr22,21265412,chr17,33478113,CRKL,UNC45B
chr1,91852783,chr2,133036705,HFM1,AC097532.1
chr21,9827203,chr17,33478116,MAFIP,UNC45B
chr21,9826936,chr17,33478113,MAFIP,UNC45B
chr21,9827510,chr17,33478111,MAFIP,UNC45B
chr1,568507,chr17,33478117,RP5-857K21.4,UNC45B
chr17,37360418,chr17,33478115,RPL19,UNC45B
chr17,33478116,chrX,108297810,UNC45B,RN28S1
chr17,33478131,chr8,136786084,UNC45B,U1.10
chr17,33478111,chr2,88124673,UNC45B,RGPD2
chr17,33478116,chr1,237766312,UNC45B,RYR2
chr17,33478116,chr1,91853039,UNC45B,HFM1
chr17,33478117,chr2,133012644,UNC45B,ANKRD30BL
chr17,33478115,chr11,85194786,UNC45B,DLG2
chr17,33478115,chr11,85194786,UNC45B,DLG2
chr17,33478117,chr21,35677489,UNC45B,AP000318.2
chr17,33478117,chr1,91852849,UNC45B,HFM1
chr17,33478114,chrX,108297713,UNC45B,RN28S1
chr1,145268337,chr2,228682365
chr1,233313496,chr2,119211620
chr1,19356611,chr2,44320639
chr1,25281429,chr2,186851097
chr1,228775554,chr2,100494884 
chr1,112841263,chr2,121129523 
chr1,233662610,chr2,52888813
chr1,98077665,chr2,143115896 
chr1,141985369,chr2,218078133
chr1,83090802,chr2,146656450
chr1,222945106,chr2,66564311
chr1,243302818,chr2,210973114
chr1,233434359,chr2,183930921
chr1,71998505,chr2,226855888
chr1,133299332,chr2,101406156
chr1,156989056,chr2,136803505
chr1,63087672,chr2,92458645
chr1,232828159,chr2,80848920
chr1,107392415,chr2,106121901
chr1,148389962,chr2,8424089
chr1,2887293,chr2,7121791
chr1,134623045,chr2,166947228
chr1,207699969,chr2,209628198
chr1,243766998,chr2,196868069
chr1,35471937,chr2,39250754
chr1,245389453,chr2,189043965
chr1,122596116,chr2,162622620
chr1,151561187,chr2,104764884
chr1,13423144,chr2,125284446
